Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won
Lucas Paquetá,West Ham United,35.0,Defensive Midfielder,2,0.6459040316208691,1.952667938132246,4.0,0.0,2.0,5.3,3.1,155.0,26.0,1126.0,1456.0,36.0,18.0,12.0,82.0,6.0,66.0,18.0,1796.0,48.0
Dani Olmo,RB Leipzig / Barcelona,30.0,Defensive Midfielder,2,-0.7257534289305909,-2.9770381852858874,10.0,3.0,8.0,6.5,3.0,81.0,33.0,520.0,641.0,26.0,11.0,6.0,66.0,12.0,16.0,3.0,797.0,9.0
Ilaix Moriba,Borussia Dortmund,30.0,Defensive Midfielder,2,-1.607830769777779,1.7815969667053548,1.0,1.0,1.0,1.7,1.5,119.0,34.0,843.0,984.0,20.0,3.0,11.0,55.0,5.0,68.0,14.0,1305.0,24.0
Sergej Milinković-Savić,Al Hilal,30.0,Defensive Midfielder,2,0.9982571249904125,-1.6016215389787825,12.0,6.0,12.0,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,28.0,22.0,1384.4761904761904,16.873015873015873
André-Frank Zambo Anguissa,Napoli,28.0,Defensive Midfielder,2,-6.050757050236318e-16,-4.1297292766374327e-16,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Conor Gallagher,Chelsea,28.0,Defensive Midfielder,2,-2.3189860034501293,0.25347329418000475,3.0,3.0,3.0,2.8,1.2,64.0,24.0,714.0,840.0,12.0,3.0,1.0,32.0,8.0,45.0,20.0,1062.0,9.0
Rodrigo Bentancur,Tottenham,28.0,Defensive Midfielder,2,-2.3154753785444493,2.5125569770885616,2.0,0.0,2.0,1.3,0.4,100.0,28.0,946.0,1076.0,10.0,4.0,2.0,45.0,3.0,40.0,40.0,1302.0,36.0
Wilfred Ndidi,Leicester City,28.0,Defensive Midfielder,2,-1.5926292002430082,3.3625069913822485,0.0,5.0,0.0,2.0,1.9,70.0,18.0,839.0,1045.0,17.0,4.0,4.0,31.0,4.0,85.0,31.0,1400.0,61.0
Youssouf Fofana,Monaco,28.0,Defensive Midfielder,2,0.22947224764875915,1.5404379320560455,1.0,6.0,1.0,1.3,3.4,176.0,44.0,1237.0,1444.0,23.0,13.0,7.0,62.0,6.0,56.0,19.0,1655.0,11.0
Denis Zakaria,Juventus,25.0,Defensive Midfielder,2,-0.6708634834857472,0.6270775060017262,6.0,4.0,4.0,5.2,1.4,113.0,27.0,1062.0,1175.0,16.0,4.0,2.0,52.0,10.0,41.0,34.0,1425.0,18.0
Pedro Gonçalves (Pote),Sporting CP,25.0,Defensive Midfielder,2,-5.096339704342952e-17,-1.0029742339447491e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Weston McKennie,Juventus,25.0,Defensive Midfielder,2,-0.8375347875442465,0.6715607557551448,2.0,4.0,2.0,2.9,3.5,101.0,28.0,928.0,1117.0,32.0,6.0,4.0,60.0,9.0,33.0,14.0,1350.0,35.0
Casemiro,Manchester United,22.0,Defensive Midfielder,2,-1.8046106448210282,2.176021173630115,1.0,0.0,1.0,1.9,2.3,84.0,4.0,780.0,990.0,22.0,9.0,9.0,53.0,4.0,83.0,14.0,1250.0,36.0
Franck Kessié,Al-Ahli,22.0,Defensive Midfielder,2,-0.24423147552241056,0.4284792910938904,2.0,4.0,1.0,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,28.0,18.0,1384.4761904761904,16.873015873015873
Nicolo Zaniolo,Aston Villa,22.0,Defensive Midfielder,2,-5.096339704342952e-17,-1.0029742339447491e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Oihan Sancet,Athletic Club,22.0,Defensive Midfielder,2,-0.950631382488297,-3.872091969058937,15.0,1.0,12.0,9.7,1.9,90.0,52.0,461.0,569.0,21.0,5.0,4.0,50.0,8.0,13.0,5.0,767.0,12.0
Kang-in Lee,PSG,20.0,Defensive Midfielder,2,-5.096339704342952e-17,-1.0029742339447491e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Leandro Paredes,Juventus,20.0,Defensive Midfielder,2,-1.833101460231452,1.1167305588080583,3.0,1.0,1.0,2.3,1.5,106.0,17.0,1105.0,1256.0,21.0,6.0,11.0,48.0,2.0,26.0,19.0,1381.0,9.0
Giovanni Reyna,Borussia Dortmund,18.0,Defensive Midfielder,2,-5.096339704342952e-17,-1.0029742339447491e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Houssem Aouar,Lyon,18.0,Defensive Midfielder,2,0.6014234864133592,-1.8485405956193153,12.0,4.0,11.0,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,19.0,13.0,1384.4761904761904,16.873015873015873
